,submission_id,title,authors,submission_type,first_author_last_name
232,343,Global Normalization of Convolutional Neural Networks for Joint Entity and Relation Classification,Heike Adel and Hinrich Schütze,Short,adel
270,864,Sparse Communication for Distributed Gradient Descent,Alham Fikri Aji and Kenneth Heafield,Short,aji
313,1416,A Multilayer Perceptron based Ensemble Technique for Fine-grained Financial Sentiment Analysis,"Md Shad Akhtar, Abhishek Kumar, Deepanway Ghosal, Asif Ekbal and Pushpak Bhattacharyya",Short,akhtar
182,1260,A causal framework for explaining the predictions of black-box sequence-to-sequence models,David Alvarez-Melis and Tommi Jaakkola,Long,alvarez-melis
125,916,Repeat before Forgetting: Spaced Repetition for Efficient and Effective Training of Neural Networks,"Hadi Amiri, Timothy Miller and Guergana Savova",Long,amiri
20,169,Guided Open Vocabulary Image Captioning with Constrained Beam Search,"Peter Anderson, Basura Fernando, Mark Johnson and Stephen Gould",Long,anderson
229,300,Analogs of Linguistic Structure in Deep Representations,Jacob Andreas and Dan Klein,Short,andreas
290,1159,Distinguishing Japanese Non-standard Usages from Standard Ones,"Tatsuya Aoki, Ryohei Sasano, Hiroya Takamura and Manadu Okumura",Short,aoki
86,617,Monolingual Phrase Alignment on Parse Forests,Yuki Arase and Jun'ichi Tsujii,Long,arase
164,1131,Identifying Cognate Sets Across Dictionaries of Related Languages,"Adam St Arnaud, David Beck and Grzegorz Kondrak",Long,arnaud
131,963,"Past, Present, Future: A Computational Investigation of the Typology of Tense in 1000 Languages",Ehsaneddin Asgari and Hinrich Schütze,Long,asgari
235,399,Syllable-aware Neural Language Models: A Failure to Beat Character-aware Ones,"Zhenisbek Assylbekov, Rustem Takhanov, Bagdat Myrzakhmetov and Jonathan N. Washington",Short,assylbekov
265,820,AMR Parsing using Stack-LSTMs,Miguel Ballesteros and Yaser Al-Onaizan,Short,ballesteros
256,704,Regularization techniques for fine-tuning in neural machine translation,"Antonio Valerio Miceli Barone, Barry Haddow, Ulrich Germann and Rico Sennrich",Short,barone
84,603,Towards Quantum Language Models,Ivano Basile and Fabio Tamburini,Long,basile
133,971,Graph Convolutional Encoders for Syntax-aware Neural Machine Translation,"Joost Bastings, Ivan Titov, Wilker Aziz, Diego Marcheggiani and Khalil Simaan",Long,bastings
283,1073,"Machine Translation, it's a question of style, innit? The case of English tag questions",Rachel Bawden,Short,bawden
298,1281,Natural Language Processing with Small Feed-Forward Networks,"Jan A. Botha, Emily Pitler, Ji Ma, Anton Bakalov, Alex Salcianu, David Weiss, Ryan McDonald and Slav Petrov",Short,botha
162,1113,Does syntax help discourse segmentation? Not so much,"Chloé Braud, Ophélie Lacroix and Anders Søgaard",Long,braud
151,1046,Efficient Attention using a Fixed-Size Memory Representation,"Denny Britz, Melody Guan and Minh-Thang Luong",Long,britz
168,1157,Exploring Hyperparameter Sensitivity in Neural Machine Translation Architectures,"Denny Britz, Anna Goldie, Minh-Thang Luong and Quoc Le",Long,britz
128,959,"Speaking, Seeing, Understanding: Correlating semantic models with conceptual representation in the brain","Luana Bulat, Stephen Clark and Ekaterina Shutova",Long,bulat
267,836,CRF Autoencoder for Unsupervised Dependency Parsing,"Jiong Cai, Yong Jiang and Kewei Tu",Short,cai
19,163,Incorporating Global Visual Features into Attention-based Neural Machine Translation.,"Iacer Calixto, Qun Liu and Nick Campbell",Long,calixto
215,1501,"Quasi-Second-Order Parsing for 1-Endpoint-Crossing, Pagenumber-2 Graphs","Junjie Cao, Sheng Huang, Weiwei Sun and Xiaojun Wan",Long,cao
318,1443,Predicting Word Association Strengths,Andrew Cattle and Xiaojuan Ma,Short,cattle
200,1376,Importance sampling for unbiased on-demand evaluation of knowledge base population,"Arun Chaganty, Ashwin Paranjape, Percy Liang and Christopher D. Manning",Long,chaganty
261,744,Source-Side Left-to-Right or Target-Side Left-to-Right? An Empirical Comparison of Two Phrase-Based Decoding Algorithms,Yin-Wen Chang and Michael Collins,Short,chang
101,697,Affordable On-line Dialogue Policy Learning,"Cheng Chang, Runzhe Yang, Lu Chen, Xiang Zhou and Kai Yu",Long,chang
166,1138,Story Comprehension for Predicting What Happens Next,"Snigdha Chaturvedi, Haoruo Peng and Dan Roth",Long,chaturvedi
27,215,Recurrent Attention Network on Memory for Aspect Sentiment Analysis,"Peng Chen, Zhongqian Sun, Lidong Bing and Wei Yang",Long,chen
242,538,Neural Machine Translation with Source Dependency Representation,"Kehai Chen, Rui Wang, Masao Utiyama, Lemao Liu, Akihiro Tamura, Eiichiro Sumita and Tiejun Zhao",Short,chen
207,1403,Agent-Aware Dropout DQN for Safe and Efficient On-line Dialogue Policy Learning,"Lu Chen, Xiang Zhou, Cheng Chang, Runzhe Yang and Kai Yu",Long,chen
155,1062,A Factored Neural Network Model for Characterizing Online Discussions in Vector Space,"Hao Cheng, Hao Fang and Mari Ostendorf",Long,cheng
132,970,Event Coreference Resolution by Iteratively Unfolding Inter-dependencies among Events,Prafulla Kumar Choubey and Ruihong Huang,Long,choubey
279,1006,A Sequential Model for Classifying Temporal Relations between Intra-Sentence Events,Prafulla Kumar Choubey and Ruihong Huang,Short,choubey
225,201,Identifying attack and support argumentative relations using deep learning,Oana Cocarascu and Francesca Toni,Short,cocarascu
122,871,Supervised Learning of Universal Sentence Representations from Natural Language Inference Data,"Alexis Conneau, Douwe Kiela, Holger Schwenk, Loïc Barrault and Antoine Bordes",Long,conneau
85,614,Efficient Discontinuous Phrase-Structure Parsing via the Generalized Maximum Spanning Arborescence,"Caio Corro, Joseph Le Roux and Mathieu Lacroix",Long,corro
220,127,Paradigm Completion for Derivational Morphology,"Ryan Cotterell, Ekaterina Vylomova, Huda Khayrallah, Christo Kirov and David Yarowsky",Short,cotterell
16,128,Cross-lingual Character-Level Neural Morphological Tagging,Ryan Cotterell and Georg Heigold,Long,cotterell
51,398,Neural Machine Translation Leveraging Phrase-based Models in a Hybrid Search,"Leonard Dahlmann, Evgeny Matusov, Pavel Petrushkov and Shahram Khadivi",Long,dahlmann
48,380,What is the Essence of a Claim? Cross-Domain Claim Identification,"Johannes Daxenberger, Steffen Eger, Ivan Habernal, Christian Stab and Iryna Gurevych",Long,daxenberger
145,1026,An empirical study of the effectiveness of images in Multi-modal Neural Machine Translation,Jean-Benoit Delbrouck and Stéphane Dupont,Long,delbrouck
238,469,Sharp Models on Dull Hardware: Fast and Accurate Neural Machine Translation Decoding on the CPU,Jacob Devlin,Short,devlin
103,714,Multi-View Unsupervised User Feature Embedding for Social Media-based Substance Use Prediction,"Tao Ding, Warren K. Bickel and Shimei Pan",Long,ding
263,794,Using Target-side Monolingual Data for Neural Machine Translation through Multi-task Learning,Tobias Domhan and Felix Hieber,Short,domhan
110,770,Learning to Paraphrase for Question Answering,"Li Dong, Jonathan Mallinson, Siva Reddy and Mirella Lapata",Long,dong
255,696,Capturing User and Product Information for Document Level Sentiment Analysis with Deep Memory Network,Zi-Yi Dou,Short,dou
226,206,Identifying Where to Focus in Reading Comprehension for Neural Question Generation,Xinya Du and Claire Cardie,Short,du
35,294,Question Generation for Question Answering,"Nan Duan, Duyu Tang, Peng Chen and Ming Zhou",Long,duan
95,659,Outta Control: Laws of Semantic Change and Inherent Biases in Word Representation Models,"haim dubossarsky, Daphna Weinshall and Eitan Grossman",Long,dubossarsky
76,529,Identifying Products in Online Cybercrime Marketplaces: A Dataset for Fine-grained Domain Adaptation,"Greg Durrett, Jonathan K. Kummerfeld, Taylor Berg-Kirkpatrick, Rebecca Portnoff, Sadia Afroz, Damon McCoy, Kirill Levchenko and Vern Paxson",Long,durrett
275,934,"Argument Mining on Twitter: Arguments, Facts and Sources","Mihai Dusmanu, Elena Cabrio and Serena Villata",Short,dusmanu
7,49,A Simpler and More Generalizable Story Detector using Verb and Character Features,Joshua Eisenberg and Mark Finlayson,Long,eisenberg
59,445,Speech segmentation with a neural encoder model of working memory,Micha Elsner and Cory Shain,Long,elsner
127,956,Bootstrapping incremental dialogue systems from minimal data: the generalisation power of dialogue grammars,"Arash Eshghi, Igor Shalyminov and Oliver Lemon",Long,eshghi
43,341,Bringing Structure into Summaries: Crowdsourcing a Benchmark Corpus of Concept Maps,Tobias Falke and Iryna Gurevych,Long,falke
98,679,Learning how to Active Learn: A Deep Reinforcement Learning Approach,"Meng Fang, Yuan Li and Trevor Cohn",Long,fang
65,474,"Using millions of emoji occurrences to learn any-domain representations for detecting sentiment, emotion and sarcasm","Bjarke Felbo, Alan Mislove, Anders Søgaard, Iyad Rahwan and Sune Lehmann",Long,felbo
32,277,Memory-augmented Neural Machine Translation,"Yang Feng, Shiyue Zhang, Andi Zhang, Dong Wang and Andrew Abel",Long,feng
278,990,VecShare: A Framework for Sharing Word Representation Vectors,"Jared Fernandez, Zhaocheng Yu and Doug Downey",Short,fernandez
36,299,Fine Grained Citation Span for References in Wikipedia,"Besnik Fetahu, Katja Markert and Avishek Anand",Long,fetahu
37,301,An analysis of eye-movements during reading for the detection of mild cognitive impairment,"Kathleen C. Fraser, Kristina Lundholm Fors, Dimitrios Kokkinakis and Arto Nordlund",Long,fraser
91,629,Inducing Semantic Micro-Clusters from Deep Multi-View Representations of Novels,Lea Frermann and György Szarvas,Long,frermann
218,77,Classification of telicity using cross-linguistic annotation projection,Annemarie Friedrich and Damyana Gateva,Short,friedrich
293,1223,Video Highlight Prediction Using Audience Chat Reactions,"Cheng-Yang Fu, Joon Lee, Mohit Bansal and Alexander Berg",Short,fu
134,977,Learning Generic Sentence Representations Using Convolutional Neural Networks,"Zhe Gan, Yunchen Pu, Ricardo Henao, Chunyuan Li, Xiaodong He and Lawrence Carin",Long,gan
150,1044,Deep Joint Entity Disambiguation with Local Neural Attention,Octavian-Eugen Ganea and Thomas Hofmann,Long,ganea
268,852,Charmanteau: Character Embedding Models For Portmanteau Creation,"Varun Gangal, Harsh Jhamtani, Graham Neubig, Eduard Hovy and Eric Nyberg",Short,gangal
113,792,Demographic-aware word associations,"Aparna Garimella, Carmen Banea and Rada Mihalcea",Long,garimella
161,1094,MinIE: Minimizing Facts in Open Information Extraction,"Kiril Gashteovski, Rainer Gemulla and Luciano Del Corro",Long,gashteovski
245,581,Topic Signatures in Political Campaign Speeches,"Clément Gautrais, Peggy Cellier, René Quiniou and Alexandre Termier",Short,gautrais
250,644,Image Pivoting for Learning Multilingual Multimodal Representations,"Spandana Gella, Rico Sennrich, Frank Keller and Mirella Lapata",Short,gella
136,988,"Magnets for Sarcasm: Making Sarcasm Detection Timely, Contextual and Very Personal",Aniruddha Ghosh and Tony Veale,Long,ghosh
154,1056,Dual Tensor Model for Detecting Asymmetric Lexico-Semantic Relations,Goran Glavaš and Simone Paolo Ponzetto,Long,glavaš
167,1145,Two-Stage Synthesis Networks for Transfer Learning in Machine Comprehension,"David Golub, Po-Sen Huang, Xiaodong He and Li Deng",Long,golub
6,43,Multi-Grained Chinese Word Segmentation,"Chen Gong, Zhenghua Li, Min Zhang and Xinzhou Jiang",Long,gong
277,986,An Empirical Analysis of Edit Importance between Document Versions,"Tanya Goyal, Sachin Kelkar, Manas Agarwal and Jeenu Grover",Short,goyal
188,1297,Trainable Greedy Decoding for Neural Machine Translation,"Jiatao Gu, Kyunghyun Cho and Victor O.K. Li",Long,gu
58,439,A Question Answering Approach for Emotion Cause Extraction,"Lin Gui, Jiannan Hu, Yulan He, Ruifeng Xu, Lu Qin and Jiachen Du",Long,gui
31,264,Part-of-Speech Tagging for Twitter with Adversarial Neural Networks,"Tao Gui, Qi Zhang, Haoran Huang, Minlong Peng and Xuanjing Huang",Long,gui
237,427,Exploiting Morphological Regularities in Distributional Word Representations,"Arihant Gupta, Syed Sarfaraz Akhtar, Avijit Vajpayee, Arjit Srivastava, Madan Gopal Jhanwar and Manish Shrivastava",Short,gupta
196,1356,"Entity Linking via Joint Encoding of Types, Descriptions, and Context","Nitish Gupta, Sameer Singh and Dan Roth",Long,gupta
258,709,Using Automated Metaphor Identification to Aid in Detection and Prediction of First-Episode Schizophrenia,"E. Dario Gutierrez, Guillermo Cecchi, Cheryl Corcoran and Philip Corlett",Short,gutierrez
112,785,Exploring Vector Spaces for Semantic Relations,"Kata Gábor, Haifa Zargayouna, Isabelle Tellier, Davide Buscaldi and Thierry Charnois",Long,gábor
307,1388,Visual Denotations for Recognizing Textual Entailment,"Dan Han, Pascual Martínez-Gómez and Koji Mineshima",Short,han
252,654,Dependency Grammar Induction with Neural Lexicalization and Big Training Data,"Wenjuan Han, Yong Jiang and Kewei Tu",Short,han
274,898,Word Re-Embedding via Manifold Dimensionality Retention,Souleiman Hasan and Edward Curry,Short,hasan
138,994,Neural Machine Translation with Source-Side Latent Graph Parsing,Kazuma Hashimoto and Yoshimasa Tsuruoka,Long,hashimoto
141,1011,A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks,"Kazuma Hashimoto, caiming xiong, Yoshimasa Tsuruoka and Richard Socher",Long,hashimoto
187,1295,An Insight Extraction System on BioMedical Literature with Deep Neural Networks,"Hua He, Kris Ganjam, Navendu Jain, Jessica Lundin, Ryen White and Jimmy Lin",Long,he
281,1019,Revisiting Selectional Preferences for Coreference Resolution,"Benjamin Heinzerling, Nafise Sadat Moosavi and Michael Strube",Short,heinzerling
269,853,High-risk learning: acquiring new word vectors from tiny data,Aurélie Herbelot and Marco Baroni,Short,herbelot
63,467,Accurate Supervised and Semi-Supervised Machine Reading for Long Documents,"Daniel Hewlett, Llion Jones, Alexandre Lacoste and izzeddin gur",Long,hewlett
180,1250,Towards Decoding as Continuous Optimisation in Neural Machine Translation,"Cong Duy Vu Hoang, Gholamreza Haffari and Trevor Cohn",Long,hoang
54,432,Beyond Sentential Semantic Parsing: Tackling the Math SAT with a Cascade of Tree Transducers,"Mark Hopkins, Cristian Petrescu-Prahova, Roie Levin, Ronan Le Bras, Alvaro Herrasti and Vidur Joshi",Long,hopkins
5,39,Do LSTMs really work so well for PoS tagging? -- A replication study,Tobias Horsmann and Torsten Zesch,Long,horsmann
147,1035,Filling the Blanks (hint: plural noun) for Mad Libs Humor,"Nabil Hossain, John Krumm, Lucy Vanderwende, Eric Horvitz and Henry Kautz",Long,hossain
18,142,Improving Slot Filling Performance with Attentive Neural Networks on Dependency Structures,"Lifu Huang, Avirup Sil, Heng Ji and Radu Florian",Long,huang
292,1222,Deep Residual Learning for Weakly-Supervised Relation Extraction,YiYao Huang and William Yang Wang,Short,huang
320,1468,When to Finish? Optimal Beam Search for Neural Text Generation (modulo beam size),"Liang Huang, Kai Zhao and Mingbo Ma",Short,huang
90,627,Learning Fine-Grained Expressions to Solve Math Word Problems,"Danqing Huang, Shuming Shi, Chin-Yew Lin and Jian Yin",Long,huang
129,961,PACRR: A Position-Aware Neural IR Model for Relevance Matching,"Kai Hui, Andrew Yates, Klaus Berberich and Gerard de Melo",Long,hui
66,477,A Challenge Set Approach to Evaluating Machine Translation,"Pierre Isabelle, Colin Cherry and George Foster",Long,isabelle
165,1132,Extractive Summarization Using Multi-Task Learning with Document Classification,"Masaru Isonuma, Toru Fujino, Junichiro Mori, Yutaka Matsuo and Ichiro Sakata",Long,isonuma
156,1076,Dynamic Entity Representations in Neural Language Models,"Yangfeng Ji, Chenhao Tan, Sebastian Martschat, Yejin Choi and Noah A. Smith",Long,ji
185,1288,Adversarial Examples for Evaluating Reading Comprehension Systems,Robin Jia and Percy Liang,Long,jia
227,247,A Novel Cascade Model for Learning Latent Similarity from Heterogeneous Sequential Data of MOOC,"Zhuoxuan Jiang, Shanshan Feng, Gao Cong, Chunyan Miao and Xiaoming Li",Short,jiang
233,361,Combining Generative and Discriminative Approaches to Unsupervised Dependency Parsing via Dual Decomposition,"Yong Jiang, Wenjuan Han and Kewei Tu",Short,jiang
74,519,Modeling Dialogue Acts with Content Word Filtering and Speaker Preferences,"Yohan Jo, Michael Yoder, Hyeju Jang and Carolyn Rose",Long,jo
53,412,ConStance: Modeling Annotation Contexts to Improve Stance Classification,"Kenneth Joseph, Lisa Friedland, William Hobbs, David Lazer and Oren Tsur",Long,joseph
73,516,Incremental Skip-gram Model with Negative Sampling,Nobuhiro Kaji and Hayato Kobayashi,Long,kaji
174,1184,Detecting and Explaining Causes From Text For a Time Series Event,"Dongyeop Kang, Varun Gangal, Ang Lu, Zheng Chen and Eduard Hovy",Long,kang
201,1377,TAG Parsing with Neural Networks and Vector Representations of Supertags,"Jungo Kasai, Bob Frank, Tom McCoy, Owen Rambow and Alexis Nasr",Long,kasai
121,869,Identifying civilians killed by police with distantly supervised entity-event extraction,"Katherine Keith, Abram Handler, Michael Pinkham, Cara Magliozzi, Joshua McDuffie and Brendan O'Connor",Long,keith
236,425,Patterns of Argumentation Strategies across Topics,"Khalid Al Khatib, Henning Wachsmuth, Matthias Hagen and Benno Stein",Short,khatib
322,1511,Cross-Lingual Transfer Learning for POS Tagging without Cross-Lingual Resources,"Joo-Kyung Kim, Young-Bum Kim, Ruhi Sarikaya and Eric Fosler-Lussier",Short,kim
159,1085,Where is Misty? Interpreting Spatial Descriptors by Modeling Regions in Space,Nikita Kitaev and Dan Klein,Long,kitaev
241,505,Natural Language Does Not Emerge ‘Naturally’ in Multi-Agent Dialog,"Satwik Kottur, José Moura, Stefan Lee and Dhruv Batra",Short,kottur
146,1033,Neural Semantic Parsing with Type Constraints for Semi-Structured Tables,"Jayant Krishnamurthy, Pradeep Dasigi and Matt Gardner",Long,krishnamurthy
253,686,Temporal dynamics of semantic relations in word embeddings: an application to predicting armed conflict participants,"Andrey Kutuzov, Erik Velldal and Lilja Øvrelid",Short,kutuzov
4,37,RACE: Large-scale ReAding Comprehension Dataset From Examinations,"Guokun Lai, Qizhe Xie, Hanxiao Liu, Yiming Yang and Eduard Hovy",Long,lai
148,1042,A Continuously Growing Dataset of Sentential Paraphrases,"Wuwei Lan, Siyu Qiu, Hua He and Wei Xu",Long,lan
106,732,Multi-task Attention-based Neural Networks for Implicit Discourse Relationship Representation and Identification,"Man Lan, Jianxiang Wang, Yuanbin Wu, Zheng-Yu Niu and Haifeng Wang",Long,lan
254,690,Learning the Structure of Variable-Order CRFs: a finite-state perspective,Thomas Lavergne and François Yvon,Short,lavergne
94,637,Counterfactual Learning from Bandit Feedback under Deterministic Logging : A Case Study in Statistical Machine Translation,"Carolin Lawrence, Artem Sokolov and Stefan Riezler",Long,lawrence
124,912,End-to-end Neural Coreference Resolution,"Kenton Lee, Luheng He, Mike Lewis and Luke Zettlemoyer",Long,lee
190,1302,MUSE: Modularizing Unsupervised Sense Embeddings,Guang-He Lee and Yun-Nung Chen,Long,lee
183,1270,Deal or No Deal? End-to-End Learning of Negotiation Dialogues,"Mike Lewis, Denis Yarats, Yann Dauphin, Devi Parikh and Dhruv Batra",Long,lewis
80,550,Deep Recurrent Generative Decoder for Abstractive Text Summarization,"Piji Li, Wai Lam, Lidong Bing and Zihao Wang",Long,li
30,246,Cascaded Attention based Unsupervised Information Distillation for Compressive Summarization,"Piji Li, Wai Lam, Lidong Bing, Weiwei Guo and Hang Li",Long,li
81,559,Investigating Different Syntactic Context Types and Context Representations for Learning Word Embeddings,"Bofang Li, Tao Liu, Zhe Zhao, Buzhou Tang, Aleksandr Drozd, Anna Rogers and Xiaoyong Du",Long,li
303,1318,Deep Multi-Task Learning for Aspect Term Extraction with Memory Interaction,Xin Li and Wai Lam,Short,li
310,1408,Leveraging Linguistic Structures for Named Entity Recognition with Bidirectional Recursive Neural Networks,"Peng-Hsuan Li, Ruo-Ping Dong, Yu-Siang Wang, Ju-Chieh Chou and Wei-Yun Ma",Short,li
2,20,Neural Net Models of Open-domain Discourse Coherence,Jiwei Li and Dan Jurafsky,Long,li
1,11,Adversarial Learning for Neural Dialogue Generation,"Jiwei Li, Will Monroe, Tianlin Shi, S\'ebastien Jean, Alan Ritter and Dan Jurafsky",Long,li
10,75,"Multi-modal Summarization for Asynchronous Collection of Text, Image, Audio and Video","Haoran Li, Junnan Zhu, Cong Ma, Jiajun Zhang and Chengqing Zong",Long,li
223,179,Initializing Convolutional Filters with Semantic Features for Text Classification,"Shen Li, Zhe Zhao, Tao Liu, Renfen Hu and Xiaoyong Du",Short,li
93,635,Reasoning with Heterogeneous Knowledge for Commonsense Machine Comprehension,"Hongyu Lin, Le Sun and Xianpei Han",Long,lin
228,286,Using Argument-based Features to Predict and Analyse Review Helpfulness,"Haijing Liu, Yang Gao, Pin Lv, Mengxue Li, Shiqiang Geng, Minglan Li and Hao Wang",Short,liu
192,1321,Heterogeneous Supervision for Relation Extraction: A Representation Learning Approach,"Liyuan Liu, Xiang Ren, Qi Zhu, Shi Zhi, Huan Gui, Heng Ji and Jiawei Han",Long,liu
179,1219,Structural Embedding of Syntactic Trees for Machine Comprehension,"Rui Liu, Junjie Hu, Wei Wei, Zi Yang and Eric Nyberg",Long,liu
33,281,Using Context Information for Dialog Act Classification in DNN Framework,"Yang Liu, Kun Han, Zhao Tan and Yun Lei",Long,liu
266,826,A Soft-label Method for Noise-tolerant Distantly Supervised Relation Extraction,"Tianyu Liu, Kexiang Wang, Baobao Chang and Zhifang Sui",Short,liu
26,204,Learning Contextually Informed Representations for Linear-Time Discourse Parsing,Yang Liu and Mirella Lapata,Long,liu
114,811,Idiom-Aware Compositional Distributed Semantics,"Pengfei Liu, Kaiyu Qian, Xipeng Qiu and Xuanjing Huang",Long,liu
47,378,A Cognition Based Attention Model for Sentiment Analysis,"Yunfei Long, Lu Qin, Rong Xiang, Minglei Li and Chu-Ren Huang",Long,long
119,856,World Knowledge for Reading Comprehension: Rare Entity Prediction with Hierarchical LSTMs Using External Descriptions,"Teng Long, Emmanuel Bengio, Ryan Lowe, Jackie Chi Kit Cheung and Doina Precup",Long,long
271,880,What is it? Disambiguating the different readings of the pronoun ‘it’,"Sharid Loáiciga, Liane Guillou and Christian Hardmeier",Short,loáiciga
294,1229,Why ADAGRAD Fails for Online Topic Modeling,"You Lu, Jeffrey Lund and Jordan Boyd-Graber",Short,lu
189,1301,Scientific Information Extraction with Semi-supervised Neural Tagging,"Yi Luan, Mari Ostendorf and Hannaneh Hajishirzi",Long,luan
34,282,Learning to Predict Charges for Criminal Cases with Legal Basis,"Bingfeng Luo, Yansong Feng, Jianbo Xu, Xiang Zhang and Dongyan Zhao",Long,luo
50,391,Human Centered NLP with User-Factor Adaptation,"Veronica Lynn, Youngseo Son, Vivek Kulkarni, Niranjan Balasubramanian and H. Andrew Schwartz",Long,lynn
25,194,Further Investigation into Reference Bias in Monolingual Evaluation of Machine Translation,"Qingsong Ma, Yvette Graham, Timothy Baldwin and Qun Liu",Long,ma
0,7,The Promise of Premise: Harnessing Question Premises in Visual Question Answering,"Aroma Mahendru, Viraj Prabhu, Akrit Mohapatra, Dhruv Batra and Stefan Lee",Long,mahendru
315,1424,Learning Language Representations for Typology Prediction,"Chaitanya Malaviya, Graham Neubig and Patrick Littell",Short,malaviya
